Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Year_norm
Opel,Astra,2008.0,Universal,310000.0,1300.0,Diesel,0,4850.0,0.6829268292682927
Skoda,Superb,2014.0,Sedan,186000.0,1600.0,Diesel,1,12300.0,0.8292682926829268
Volkswagen,Other,2011.0,Pickup,150000.0,2000.0,Diesel,0,12800.0,0.7560975609756098
Mercedes,Vito,2000.0,Minivan,258000.0,2200.0,Diesel,1,2999.0,0.4878048780487805
Mercedes,E Class,2000.0,Sedan,999.0,2000.0,Petrol,1,3199.0,0.4878048780487805
Toyota,Auris,2010.0,Hatchback,1.0,1400.0,Hybrid,1,8990.0,0.7317073170731707
Nissan,Qashqai,2016.0,Crossover,151000.0,1500.0,Diesel,0,13890.0,0.8780487804878049
BMW,5 Series,2018.0,Sedan,46000.0,2000.0,Petrol,1,27650.0,0.926829268292683
Renault,Megane,2010.0,Universal,257110.0,1500.0,Diesel,0,4999.0,0.7317073170731707
Ford,Mondeo,2016.0,Sedan,167000.0,1500.0,Diesel,0,12990.0,0.8780487804878049
Toyota,Other,2018.0,Crossover,114000.0,1800.0,Hybrid,1,16750.0,0.926829268292683
Nissan,Qashqai,2017.0,Crossover,157600.0,1500.0,Diesel,0,11990.0,0.9024390243902439
Toyota,Auris,2014.0,Universal,190000.0,1800.0,Hybrid,1,8990.0,0.8292682926829268
Toyota,Other,2017.0,Crossover,119000.0,1800.0,Hybrid,1,18790.0,0.9024390243902439
Peugeot,Other,2018.0,Crossover,145000.0,1500.0,Diesel,1,16790.0,0.926829268292683
Renault,Kadjar,2016.0,Crossover,150200.0,1500.0,Diesel,1,13450.0,0.8780487804878049
Lexus,Other,2015.0,SUV,149000.0,2500.0,Hybrid,1,21750.0,0.8536585365853658
Volkswagen,Passat,2006.0,Sedan,216000.0,2000.0,Petrol,1,5350.0,0.6341463414634146
Other,Other,2016.0,Crossover,88000.0,1500.0,Diesel,1,15790.0,0.8780487804878049
Mitsubishi,Other,2002.0,Sedan,4.0,1800.0,Petrol,1,2700.0,0.5365853658536586
Skoda,Superb,2004.0,Sedan,1.0,1800.0,Petrol,0,3600.0,0.5853658536585366
Mercedes,Vito,2003.0,Microvan,1.0,2200.0,Diesel,0,4600.0,0.5609756097560976
Volkswagen,Passat,2007.0,Universal,320000.0,1600.0,Metan/Propan,0,5999.0,0.6585365853658537
Hyundai,Other,2006.0,Hatchback,298000.0,1500.0,Diesel,0,2999.0,0.6341463414634146
Honda,Civic,2017.0,Hatchback,27138.0,1500.0,Petrol,1,13300.0,0.9024390243902439
BMW,5 Series,2006.0,Sedan,1.0,2500.0,Petrol,1,6350.0,0.6341463414634146
Renault,Kadjar,2016.0,Crossover,140000.0,1500.0,Diesel,1,12400.0,0.8780487804878049
Skoda,Octavia,2012.0,Sedan,166000.0,1600.0,Diesel,1,8990.0,0.7804878048780488
Volkswagen,Golf,2000.0,Hatchback,1.0,1400.0,Petrol,0,2750.0,0.4878048780487805
Skoda,Superb,2009.0,Sedan,223000.0,2000.0,Diesel,1,8990.0,0.7073170731707317
Toyota,Corolla,2006.0,Universal,198563.0,1400.0,Diesel,1,5350.0,0.6341463414634146
Volvo,Other,2000.0,Sedan,202698.0,2800.0,Petrol,1,3999.0,0.4878048780487805
Land Rover,Other,2000.0,SUV,230000.0,2000.0,Diesel,0,2750.0,0.4878048780487805
BMW,5 Series,2018.0,Sedan,82000.0,2000.0,Diesel,1,34000.0,0.926829268292683
Volkswagen,Passat,1995.0,Universal,250369.0,1800.0,Petrol,0,2700.0,0.36585365853658536
KIA,Other,2005.0,Sedan,250632.0,2000.0,Metan/Propan,0,2690.0,0.6097560975609756
Seat,Other,1998.0,Combi,300000.0,1900.0,Diesel,0,1450.0,0.43902439024390244
Skoda,Fabia,2012.0,Minivan,165500.0,1200.0,Diesel,0,5100.0,0.7804878048780488
Skoda,Octavia,2010.0,Hatchback,1.0,1390.0,Petrol,0,6099.0,0.7317073170731707
Mitsubishi,Outlander,2011.0,SUV,248000.0,2000.0,Petrol,1,9900.0,0.7560975609756098
Ford,Focus,2016.0,Universal,170000.0,1499.0,Diesel,0,8890.0,0.8780487804878049
Renault,Megane,2008.0,Universal,245000.0,1500.0,Diesel,0,3600.0,0.6829268292682927
Honda,Civic,1999.0,Universal,290000.0,1500.0,Petrol,0,1800.0,0.4634146341463415
Toyota,Avensis,2004.0,Sedan,300.0,2000.0,Petrol,0,5000.0,0.5853658536585366
Renault,Other,2007.0,Sedan,211000.0,1400.0,Petrol,0,2900.0,0.6585365853658537
Audi,A4,2012.0,Sedan,166700.0,2000.0,Petrol,1,10200.0,0.7804878048780488
Audi,Other,2016.0,Hatchback,145000.0,1400.0,Electric,1,16450.0,0.8780487804878049
Lexus,Other,2014.0,Sedan,81700.0,1800.0,Hybrid,1,12450.0,0.8292682926829268
Toyota,Auris,2013.0,Universal,142865.0,1400.0,Diesel,0,8700.0,0.8048780487804879
Vaz,Other,2007.0,Sedan,135865.0,1400.0,Petrol,0,1500.0,0.6585365853658537
Renault,Grand Scenic,2013.0,Minivan,181000.0,1500.0,Diesel,1,7000.0,0.8048780487804879
Skoda,Octavia,2014.0,Universal,155000.0,1400.0,Petrol,1,9700.0,0.8292682926829268
Skoda,Octavia,2015.0,Sedan,164000.0,1600.0,Diesel,1,12750.0,0.8536585365853658
Volkswagen,Other,2010.0,Coupe,150589.0,1400.0,Petrol,0,7999.0,0.7317073170731707
Ford,Focus,2015.0,Universal,152523.0,1500.0,Diesel,1,9300.0,0.8536585365853658
Opel,Astra,2007.0,Universal,190000.0,1300.0,Diesel,0,4499.0,0.6585365853658537
Toyota,Avensis,2014.0,Universal,165000.0,2000.0,Diesel,0,15600.0,0.8292682926829268
BMW,7 Series,2006.0,Sedan,260000.0,3000.0,Diesel,1,11000.0,0.6341463414634146
Toyota,Auris,2011.0,Hatchback,182251.0,1798.0,Hybrid,1,8200.0,0.7560975609756098
Fiat,Other,2008.0,Hatchback,185000.0,1300.0,Diesel,1,3600.0,0.6829268292682927
Chevrolet,Other,2012.0,Hatchback,187000.0,1300.0,Diesel,0,4600.0,0.7804878048780488
Renault,Megane,2005.0,Sedan,190000.0,1500.0,Diesel,0,3200.0,0.6097560975609756
BMW,X5,2007.0,Crossover,250.0,3000.0,Diesel,1,7100.0,0.6585365853658537
Suzuki,Other,2005.0,SUV,400000.0,2700.0,Petrol,1,5500.0,0.6097560975609756
Volkswagen,Golf,2010.0,Hatchback,225550.0,2000.0,Petrol,1,9650.0,0.7317073170731707
Other,Other,2003.0,Hatchback,220000.0,1400.0,Petrol,0,2000.0,0.5609756097560976
Nissan,Other,2003.0,Hatchback,90000.0,1500.0,Petrol,0,1000.0,0.5609756097560976
Renault,Grand Scenic,2013.0,Minivan,165000.0,1500.0,Diesel,0,7500.0,0.8048780487804879
Honda,Other,2018.0,Hatchback,36000.0,1500.0,Plug-in Hybrid,1,18499.0,0.926829268292683
Toyota,Other,2015.0,Minivan,102000.0,1800.0,Petrol,1,12500.0,0.8536585365853658
BMW,5 Series,2004.0,Sedan,2899.0,2500.0,Petrol,0,6100.0,0.5853658536585366
Mitsubishi,Outlander,2003.0,Crossover,208367.0,2000.0,Petrol,0,4600.0,0.5609756097560976
Volkswagen,Touran,2011.0,Minivan,168000.0,1400.0,Petrol,0,7999.0,0.7560975609756098
Toyota,Other,2019.0,Hatchback,2500.0,1800.0,Plug-in Hybrid,1,18999.0,0.9512195121951219
KIA,Other,2017.0,Crossover,0.0,2200.0,Diesel,1,21490.0,0.9024390243902439
Volkswagen,Transporter,2004.0,Microvan,190000.0,1896.0,Diesel,0,6300.0,0.5853658536585366
Skoda,Octavia,2011.0,Universal,210000.0,1400.0,Petrol,0,6400.0,0.7560975609756098
Other,Other,2014.0,Sedan,160000.0,2000.0,Hybrid,1,12200.0,0.8292682926829268
Renault,Scenic,2004.0,Universal,180000.0,1500.0,Diesel,0,3300.0,0.5853658536585366
Mercedes,Other,1984.0,Universal,100000.0,2400.0,Diesel,0,1000.0,0.0975609756097561
Toyota,Other,2007.0,Crossover,202000.0,2700.0,Metan/Propan,1,14600.0,0.6585365853658537
Volkswagen,Polo,2017.0,Hatchback,170000.0,1422.0,Diesel,0,8200.0,0.9024390243902439
Toyota,Corolla,2005.0,Hatchback,252.0,1400.0,Diesel,0,4600.0,0.6097560975609756
Volkswagen,Jetta,2013.0,Sedan,198000.0,1400.0,Hybrid,1,8400.0,0.8048780487804879
KIA,Other,2004.0,Universal,183454.0,1300.0,Petrol,0,2500.0,0.5853658536585366
BMW,Other,2013.0,Crossover,104000.0,2979.0,Petrol,1,30900.0,0.8048780487804879
Toyota,Corolla,2006.0,Hatchback,119000.0,1600.0,Petrol,1,5700.0,0.6341463414634146
Opel,Corsa,2007.0,Hatchback,283000.0,1300.0,Diesel,0,3499.0,0.6585365853658537
Toyota,Auris,2017.0,Hatchback,146000.0,1800.0,Hybrid,1,11900.0,0.9024390243902439
Nissan,Qashqai,2009.0,Crossover,202000.0,1990.0,Petrol,0,7100.0,0.7073170731707317
Ford,Other,2016.0,Microvan,141000.0,1500.0,Diesel,0,9000.0,0.8780487804878049
Renault,Megane,2013.0,Minivan,220000.0,1500.0,Diesel,0,5000.0,0.8048780487804879
Renault,Grand Scenic,2008.0,Hatchback,232012.0,1500.0,Diesel,0,3700.0,0.6829268292682927
KIA,Other,2018.0,SUV,38999.0,2000.0,Diesel,1,24800.0,0.926829268292683
Nissan,Qashqai,2014.0,Crossover,219000.0,1500.0,Diesel,0,10999.0,0.8292682926829268
Land Rover,Other,2007.0,SUV,300000.0,2200.0,Diesel,1,9200.0,0.6585365853658537
Toyota,Prius,2011.0,Hatchback,121000.0,1800.0,Hybrid,1,7900.0,0.7560975609756098
Hyundai,Other,2004.0,Universal,250000.0,1500.0,Diesel,0,4000.0,0.5853658536585366
Toyota,Auris,2014.0,Universal,200000.0,1390.0,Diesel,0,8600.0,0.8292682926829268
Audi,Q5,2013.0,SUV,143000.0,2000.0,Petrol,1,17850.0,0.8048780487804879
Volkswagen,Caddy,2013.0,Universal,174000.0,2000.0,Diesel,0,9650.0,0.8048780487804879
Volkswagen,Golf,2009.0,Universal,200000.0,1400.0,Petrol,0,4800.0,0.7073170731707317
Nissan,Qashqai,2007.0,Crossover,137660.0,1500.0,Diesel,0,6600.0,0.6585365853658537
Opel,Astra,2011.0,Universal,213548.0,1300.0,Diesel,0,5650.0,0.7560975609756098
Toyota,Other,2006.0,Sedan,193096.0,1500.0,Petrol,0,3700.0,0.6341463414634146
Opel,Other,1992.0,Coupe,400000.0,2000.0,Metan/Propan,0,1600.0,0.2926829268292683
Renault,Kadjar,2016.0,Crossover,150425.0,1500.0,Diesel,1,14990.0,0.8780487804878049
Ford,Fusion,2018.0,Sedan,105000.0,2000.0,Hybrid,1,15000.0,0.926829268292683
Volkswagen,Passat,2000.0,Combi,191000.0,1800.0,Metan/Propan,1,3850.0,0.4878048780487805
